cycle,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).M
0,0.0,2.0,0.0
1,6.088779049416537,0.8434253821113008,0.1619727945523651
2,8.94413170196501,0.7118041736352181,0.3204312203547918
3,11.489122806167963,0.82222340598227,0.43083476535322746
4,14.356404394104073,1.0134711270134777,0.5364694564061616
5,17.699491377402,1.254068529721544,0.6603356162850342
6,21.54526921729387,1.5384836972912597,0.8125551608360724
7,25.855399152320427,1.864277218244466,0.9983197245668308
8,30.529841866602084,2.226355110701238,1.2205826911333257
9,35.40477991227211,2.61513943776989,1.4803780539742666
10,40.259849870739316,3.0161826574398773,1.7763611921789042
11,44.83943460211232,3.410955459534547,2.1042448526275432
12,48.88624594492247,3.7787743279379575,2.456480651082311
13,52.17953545380833,4.099543972912639,2.8224070986216474
14,54.567174585198906,4.356643319012103,3.188957980124282
15,55.98259678449386,4.539164048040715,3.541862392843659
16,56.443428329185735,4.642930267884881,3.8671129092534517
17,56.03519264371371,4.6701772027547594,4.1523956587414315
18,54.88736997412475,4.628202533585879,4.388200110501049
19,53.149206236407196,4.527528752295187,4.568438187497026
20,50.97019697138539,4.380090019160834,4.690545752117438
21,48.48711671131362,4.1977767690414485,4.755157150167278
22,45.81719649153738,3.991462767083353,4.765504713108557
23,43.055954159132376,3.7704855654103713,4.72670044240776
24,40.27799331571639,3.542474812501273,4.645025892922462
25,37.53937457144849,3.313407399279301,4.527311247911158
26,34.88058980080077,3.087786568961989,4.3804422772382745
27,32.32955578465743,2.8688714958629915,4.211002317441338
28,29.904326282172953,2.658911625086953,4.025037050476554
29,27.615402383304367,2.4593612378006906,3.8279206041128018
30,25.467623976284564,2.271063756955034,3.624299170113543
31,23.461676533117444,2.094403616531225,3.418090016156354
32,21.595267908192355,1.9294278491829604,3.2125173011307195
33,19.864033552694192,1.7759414061999554,3.0101701294345453
34,18.26222414520402,1.6335806858171722,2.813072055519191
35,16.783222055210498,1.5018695014359627,2.6227544463622245
36,15.419924871679756,1.3802611774269218,2.4403286421868438
37,14.165026654686185,1.2681698381191928,2.2665537662705093
38,13.011221067664028,1.1649933641172714,2.1018984180387785
39,11.951345204215704,1.0701299743810453,1.946595447327141
40,10.978478645987257,0.9829899642348907,1.8006896517249407
41,10.086008921948883,0.9030037842817362,1.6640786477721992
42,9.267671919490011,0.8296273722449181,1.5365474077767145
43,8.517573773158599,0.7623454366061201,1.4177970786852319
44,7.830199199448007,0.7006732258032687,1.3074687460498817
45,7.200410051305302,0.6441571895374005,1.2051628023996017
46,6.6234369510199365,0.5923748410402822,1.110454544881157
47,6.094866159987734,0.5449340542759569,1.022906575454515
48,5.610623308345382,0.5014719727267707,0.942078517370885
49,5.166955198051714,0.46165366256209817,0.8675345001145442
50,4.760410580103721,0.42517060945739127,0.7988488052004286
