cycle,first(COVID_Maths).I,first(COVID_Maths).D
0,2.0,0.0
1,1.5686823765383138,0.12703640981028375
2,2.754195961777994,0.45427431921854966
3,4.947211352671305,1.0929078906241054
4,8.167669249341897,2.271027643981516
5,11.85713964312174,4.283673599709094
6,14.707419172149562,7.388804105063663
7,15.578505939941302,11.64924341610516
8,14.453736647061923,16.857633966772656
9,12.1667051542036,22.622734759871918
10,9.59022509146673,28.52529582426217
11,7.246746932658712,34.226785329865585
12,5.333864599424943,39.50397756621392
13,3.864119261802731,44.23779301280198
14,2.7738775033349157,48.38645273292021
15,1.9816967254255524,51.95888031922936
16,1.4129565955137293,54.99377746574544
17,1.007333557350495,57.54490497187935
18,0.7189744273343831,59.671461394870505
19,0.5141817973671037,61.432191414917895
20,0.36866650392776223,62.88205356196899
21,0.2651158084743784,64.07056573194667
22,0.1912664809225781,65.04120521929838
23,0.13845900893086074,65.83143971538144
24,0.10058498357369357,66.47311013321745
25,0.07333403467690365,66.99298658345349
26,0.0536605828668376,67.41338687772983
27,0.03940844862690483,67.75279202992051
28,0.02904737848281605,68.02642247763826
29,0.02148832187540229,68.24675727495355
30,0.01595389038810055,68.42398989613412
31,0.0118874098012233,68.56642100122602
32,0.00888895199872685,68.68079221407618
33,0.00667024092684688,68.77256676590405
34,0.00502278105654441,68.84616349822501
35,0.00379526741092339,68.90515067689967
36,0.00287752624384704,68.95240565153499
37,0.00218906294814099,68.99024579446913
38,0.00167086950290204,69.02053548912674
39,0.0012795448605306,69.0447732779232
40,0.00098306161377729,69.06416266317589
41,0.00075770810022706,69.07966949913114
42,0.00058587241787523,69.09206842573704
43,0.0004544313780199,69.10198037466158
44,0.00035357550442268,69.10990282089367
45,0.00027594933616972,69.1162341528078
46,0.00021602044458857,69.12129328290592
47,0.00016961487363055,69.1253354136983
48,0.00013357405418201,69.1285647019413
49,0.00010550065610919,69.13114442390899
50,0.00008356975490447,69.13320512947318
