cycle,first(COVID_Maths).D
0,0.0
1,0.11732740153179491
2,0.39970005369127354
3,0.9375251062137827
4,1.9196421225969156
5,3.5801693272115918
6,6.105808120761983
7,9.506420418094883
8,13.571391608027753
9,17.96403387772513
10,22.356819042949702
11,26.50953739628554
12,30.28162274788312
13,33.611919877269884
14,36.49227648368282
15,38.94579299451587
16,41.011689226335896
17,42.73566468437245
18,44.164136010818076
19,45.34102162519381
20,46.30613371293744
21,47.094551889534166
22,47.73657352227536
23,48.257983244320435
24,48.68048095791518
25,49.022170438438955
26,49.298051060962145
27,49.520480864314415
28,49.69959523156216
29,49.84367526431099
30,49.959465684790565
31,50.05244528059889
32,50.12705447522446
33,50.186885191210564
34,50.23483817805594
35,50.27325266268444
36,50.30401270888714
37,50.328634142706775
38,50.348335371588746
39,50.36409492846208
40,50.37669812356071
41,50.3867747925661
42,50.39482978947043
43,50.401267583093606
44,50.4064120725098
45,50.410522533225276
46,50.413806437289104
47,50.41642975144329
48,50.41852520324749
49,50.42019891174964
50,50.42153570315592
