cycle,first(COVID_Maths).D
0,0.0
1,0.14321809030846955
2,0.5452314338836042
3,1.3518793113085625
4,2.8566712209581606
5,5.4561867244433415
6,9.527155710511062
7,15.220695355374941
8,22.334913980446498
9,30.38769742927009
10,38.80697680525518
11,47.090391324063845
12,54.87697172947705
13,61.951096626873365
14,68.21491837209064
15,73.653690384834
16,78.30519824899491
17,82.23658264838605
18,85.52829276839627
19,88.26373831178259
20,90.5230856046827
21,92.37989007958531
22,93.89957858550453
23,95.13908162655781
24,96.14713936414579
25,96.96496832149506
26,97.6270897500862
27,98.16219796909662
28,98.59399816689701
29,98.94197619839959
30,99.22208366955886
31,99.44733418685429
32,99.62831390059196
33,99.7736133071191
34,99.89018897911788
35,99.98366430969634
36,100.05857803297162
37,100.11858857043413
38,100.16664136599361
39,100.20510544427998
40,100.23588453169339
41,100.2605072575284
42,100.28020022079149
43,100.29594707135242
44,100.3085362084072
45,100.31859923747714
46,100.3266419400984
47,100.33306918832945
48,100.33820496990968
49,100.34230847078784
50,100.3455869821895
