cycle,first(COVID_Maths).D
0,0.0
1,0.13027274590651716
2,0.47246574160626786
3,1.1447021634276013
4,2.3881562552431737
5,4.51817562426391
6,7.816471929645752
7,12.363525776293146
8,17.953069027616646
9,24.175681172774006
10,30.5815433829038
11,36.799353910817246
12,42.578336102777506
13,47.78010219827003
14,52.351661947473495
15,56.297209116874306
16,59.65526743306973
17,62.48227923118411
18,64.84169844987588
19,66.79720731575311
20,68.40880953100888
21,69.73083312808292
22,70.81114701477293
23,71.69111234368465
24,72.4059501246836
25,72.98531950213435
26,73.45397837388799
27,73.83244958245658
28,74.13764955133502
29,74.38345767460983
30,74.58121803243714
31,74.74017289189116
32,74.86783186283938
33,74.97028278752072
34,75.05245129544488
35,75.11831600443436
36,75.17108594952015
37,75.21334619830391
38,75.24717690221351
39,75.27425031944045
40,75.29590967272915
41,75.31323309630525
42,75.32708538977708
43,75.33815983325354
44,75.34701192299435
45,75.35408655414793
46,75.35973989915718
47,75.36425699978872
48,75.36786590047757
49,75.37074899442067
50,75.37305212602065
