cycle,first(COVID_Maths).I,first(COVID_Maths).D
0,2.0,0.0
1,1.568682455603793,0.14321809030846955
2,2.754198073912791,0.5452314338836042
3,4.947228790172473,1.3518793113085625
4,8.167754141259566,2.8566712209581606
5,11.857427259437031,5.4561867244433415
6,14.708142459619827,9.527155710511062
7,15.579931769584318,15.220695355374941
8,14.456067671761646,22.334913980446498
9,12.170012747383947,30.38769742927009
10,9.594427723425449,38.80697680525518
11,7.251633138135013,47.090391324063845
12,5.339148708629333,54.87697172947705
13,3.869504829070993,61.951096626873365
14,2.779106598755669,68.21491837209064
15,1.9865764027350687,73.653690384834
16,1.4173648013825764,78.30519824899491
17,1.011211512666144,82.23658264838605
18,0.7223126200806103,85.52829276839627
19,0.5170047743314555,88.26373831178259
20,0.3710194091682266,90.5230856046827
21,0.26705387553529963,92.37989007958531
22,0.1928476022767314,93.89957858550453
23,0.1397389629691045,95.13908162655781
24,0.10161471251580359,96.14713936414579
25,0.07415837673308016,96.96496832149506
26,0.05431795931449188,97.6270897500862
27,0.03993112695158042,98.16219796909662
28,0.02946204434588274,98.59399816689701
29,0.02181678306418013,98.94197619839959
30,0.01621380321569858,99.22208366955886
31,0.01209296550700011,99.44733418685429
32,0.00905149190396332,99.62831390059196
33,0.00679878869360126,99.7736133071191
34,0.00512449194547445,99.89018897911788
35,0.003875800657119,99.98366430969634
36,0.00294134952442816,100.05857803297162
37,0.00223969874455573,100.11858857043413
38,0.00171109285097209,100.16664136599361
39,0.00131154109551921,100.20510544427998
40,0.00100855159920626,100.23588453169339
41,0.00077804727612782,100.2605072575284
42,0.0006021289226791,100.28020022079149
43,0.00046744753772888,100.29594707135242
44,0.00036401615901849,100.3085362084072
45,0.0002843397838549,100.31859923747714
46,0.00022277621752418,100.3266419400984
47,0.00017506509862206,100.33306918832945
48,0.0001379797818435,100.33820496990968
49,0.00010906924692862,100.34230847078784
50,0.00008646617657675,100.3455869821895
