cycle,first(COVID_Maths).I,first(COVID_Maths).D
0,2.0,0.0
1,1.5686823132859347,0.11409106544236908
2,2.754194272070935,0.3815086323941413
3,4.947197402702846,0.8857308560770598
4,8.167601336291163,1.8025137196020413
5,11.856909553875253,3.3456685034328464
6,14.706840560977927,5.6781452891268085
7,15.577365342437899,8.792154112850195
8,14.451872010914336,12.475998429315773
9,12.16405950605289,16.411179701201743
10,9.586863842958062,20.30074874362117
11,7.2428394902332,23.937274012270258
12,5.3296397378934275,27.207744718705545
13,3.8598143264032903,30.070313599227667
14,2.7696989281153495,32.528034793458495
15,1.9777988343126338,34.60873012191348
16,1.4094368798693975,36.35178684547003
17,1.0042387999543132,37.80021180676024
18,0.7163119492233699,38.99615575199359
19,0.5119316656702289,39.978590474207394
20,0.36679233398966643,40.78227577043157
21,0.26357319106939764,41.43747587586828
22,0.19000893600788016,41.97009315726977
23,0.13744180412103704,42.40201700808835
24,0.09976730580956361,42.751566757991235
25,0.07267999535974898,43.03395766328583
26,0.05313945816895561,43.26175023103079
27,0.03899445951992245,43.44526234815597
28,0.02871922506078834,43.59293534937942
29,0.02122861374270775,43.71165204282005
30,0.01574856071885295,43.807008589453055
31,0.01172516283930618,43.88354413598314
32,0.0087607687341927,43.94493295831582
33,0.00656895200164083,43.994144050549295
34,0.00494270673992842,44.03357288825341
35,0.00373191954655798,44.06514969028698
36,0.00282736482977264,44.090428014489284
37,0.00214929938722768,44.11065701709172
38,0.00163930884279512,44.12684022200389
39,0.0012544600775022,44.13978320407403
40,0.00096309391015646,44.15013219841456
41,0.00074178812252352,44.158405307536135
42,0.00057315817854835,44.16501768707417
43,0.00044425943959031,44.170301845075315
44,0.00034542264836742,44.17452398402386
45,0.00026940249352544,44.177897143765975
46,0.00021075312045979,44.18059176219514
47,0.0001653686668399,44.18274415439087
48,0.00013014416954243,44.18446331577158
49,0.00010272454283629,44.185836377181744
50,0.00008131819167739,44.18693297664633
