cycle,first(COVID_Maths).D
0,0.0
1,0.1367454181040895
2,0.5088485871996432
3,1.2482907260346838
4,2.622413633966917
5,4.98718057396045
6,8.671811323561316
7,13.792102538112553
8,20.14397056190513
9,27.281643179247816
10,34.69417145426516
11,41.94471999400385
12,48.727413607924305
13,54.865247851328206
14,60.28280620332022
15,64.97481646309406
16,68.97943853851281
17,72.35846949655732
18,75.18386615460962
19,77.52917901977601
20,79.4644967206319
21,81.05376362093295
22,82.35362930404547
23,83.41324049973105
24,84.27457804344922
25,84.97307952263493
26,85.53838391229834
27,85.99509896256556
28,86.36353451639042
29,86.66037217901466
30,86.89925877358462
31,87.09132125485411
32,87.2456065836282
33,87.36945308699251
34,87.46880110746208
35,87.54845097657724
36,87.61227598693789
37,87.66339736799767
38,87.70432747280081
39,87.7370865615712
40,87.76329778399528
41,87.78426424633726
42,87.80103141532373
43,87.81443756035351
44,87.82515446523115
45,87.83372024332125
46,87.8405657574683
47,87.84603586968588
48,87.85040651732791
49,87.85389842476802
50,87.8566881059178
