cycle,first(COVID_Maths).I,first(COVID_Maths).D
0,2.0,0.0
1,1.5686823290990284,0.11732740153179491
2,2.754194694497636,0.39970005369127354
3,4.947200890192255,0.9375251062137827
4,8.167618314513563,1.9196421225969156
5,11.856967075869731,3.5801693272115918
6,14.706985212203799,6.105808120761983
7,15.577650486296266,9.506420418094883
8,14.45233815465066,13.571391608027753
9,12.164720882559347,17.96403387772513
10,9.587704083668484,22.356819042949702
11,7.2438162240227335,26.50953739628554
12,5.330695751154242,30.28162274788312
13,3.8608902671178478,33.611919877269884
14,2.7707431802889153,36.49227648368282
15,1.9787728197564824,38.94579299451587
16,1.4103162383921028,41.011689226335896
17,1.0050118559418557,42.73566468437245
18,0.716976896493048,44.164136010818076
19,0.5124935120728699,45.34102162519381
20,0.36726019813473343,46.30613371293744
21,0.2639581937735512,47.094551889534166
22,0.19032271108480955,47.73657352227536
23,0.13769554376240287,48.257983244320435
24,0.09997121817330133,48.68048095791518
25,0.07284305405244743,49.022170438438955
26,0.05326934300722727,49.298051060962145
27,0.03909761231359007,49.520480864314415
28,0.02880096670818212,49.69959523156216
29,0.02129328717129524,49.84367526431099
30,0.01579967777143948,49.959465684790565
31,0.01176554267964358,50.05244528059889
32,0.00879266160998511,50.12705447522446
33,0.00659414612424246,50.186885191210564
34,0.00496261834097901,50.23483817805594
35,0.00374766740301391,50.27325266268444
36,0.00283983110535122,50.30401270888714
37,0.0021591787908744,50.328634142706775
38,0.0016471480316122,50.348335371588746
39,0.00126068904549505,50.36409492846208
40,0.00096805087363638,50.37669812356071
41,0.00074573917739438,50.3867747925661
42,0.00057631278486099,50.39482978947043
43,0.0004467825942069,50.401267583093606
44,0.00034744444024547,50.4064120725098
45,0.00027102559726369,50.410522533225276
46,0.00021205866978831,50.413806437289104
47,0.00016642085740644,50.41642975144329
48,0.00013099386626209,50.41852520324749
49,0.00010341210806773,50.42019891174964
50,0.00008187570376289,50.42153570315592
