cycle,first(COVID_Maths).I,first(COVID_Maths).D
0,2.0,0.0
1,1.5686823607252187,0.12380007371575226
2,2.754195539351164,0.4360828971034779
3,4.947207865176485,1.041113623487304
4,8.16765227103893,2.1538990847866133
5,11.857082120492967,4.049171875349147
6,14.707274517789594,6.96113752872556
7,15.578220785047915,10.934965069694602
8,14.453270472724315,15.762209376638362
9,12.166043706634285,21.069811406661913
10,9.589384707921608,26.469092582141606
11,7.245769945232293,31.654293052309093
12,5.332808181912342,36.429739165581154
13,3.8630427348010756,40.695659572110515
14,2.7728324678665874,44.421485431828415
15,1.9807217652562241,47.62086805704362
16,1.4120760961227963,50.33268447990119
17,1.006559234504141,52.608011183363715
18,0.7183081353612878,54.50178871492786
19,0.5136185776793502,56.067821937963934
20,0.36819728280843644,57.35602240507501
21,0.2647295021328996,58.4110965631547
22,0.19095148316017257,59.27212924460663
23,0.13820414575751933,59.972694232895826
24,0.10038005662955218,60.5412522232737
25,0.07317007328059881,61.00168441950574
26,0.05352990493131946,61.37386885000003
27,0.03930460645627733,61.67424511790505
28,0.02896504302897479,61.91633815837407
29,0.02142314087262978,62.11122719642993
30,0.01590234226914252,62.26795561121251
31,0.01184666585316999,62.39388294710332
32,0.00885675296450667,62.49498330155148
33,0.00664479033807083,62.57609571555623
34,0.00500265527811258,62.641132621415245
35,0.00377934113981843,62.69325226933209
36,0.00286491164074937,62.73500061873203
37,0.00217906042126133,62.768427603447776
38,0.00166292823098737,62.79518206041633
39,0.00127323132361066,62.81658900609045
40,0.00097803462733186,62.83371238405865
41,0.00075369908156468,62.847405905638325
42,0.00058266983158765,62.85835416676421
43,0.00045186850070711,62.86710584787234
44,0.0003515208144219,62.8741004841141
45,0.00027429897239533,62.8796900251036
46,0.00021469229226573,62.88415618005563
47,0.00016854392689437,62.88772435930581
48,0.00013270877955045,62.89057487097637
49,0.00010480013985254,62.89285190673742
50,0.00008300146410358,62.8946707486382
0,2.0,0.0
1,1.5686823607252187,0.12380007371575226
2,2.754195539351164,0.4360828971034779
3,4.947207865176485,1.041113623487304
4,8.16765227103893,2.1538990847866133
5,11.857082120492967,4.049171875349147
6,14.707274517789594,6.96113752872556
7,15.578220785047915,10.934965069694602
8,14.453270472724315,15.762209376638362
9,12.166043706634285,21.069811406661913
10,9.589384707921608,26.469092582141606
11,7.245769945232293,31.654293052309093
12,5.332808181912342,36.429739165581154
13,3.8630427348010756,40.695659572110515
14,2.7728324678665874,44.421485431828415
15,1.9807217652562241,47.62086805704362
16,1.4120760961227963,50.33268447990119
17,1.006559234504141,52.608011183363715
18,0.7183081353612878,54.50178871492786
19,0.5136185776793502,56.067821937963934
20,0.36819728280843644,57.35602240507501
21,0.2647295021328996,58.4110965631547
22,0.19095148316017257,59.27212924460663
23,0.13820414575751933,59.972694232895826
24,0.10038005662955218,60.5412522232737
25,0.07317007328059881,61.00168441950574
26,0.05352990493131946,61.37386885000003
27,0.03930460645627733,61.67424511790505
28,0.02896504302897479,61.91633815837407
29,0.02142314087262978,62.11122719642993
30,0.01590234226914252,62.26795561121251
31,0.01184666585316999,62.39388294710332
32,0.00885675296450667,62.49498330155148
33,0.00664479033807083,62.57609571555623
34,0.00500265527811258,62.641132621415245
35,0.00377934113981843,62.69325226933209
36,0.00286491164074937,62.73500061873203
37,0.00217906042126133,62.768427603447776
38,0.00166292823098737,62.79518206041633
39,0.00127323132361066,62.81658900609045
40,0.00097803462733186,62.83371238405865
41,0.00075369908156468,62.847405905638325
42,0.00058266983158765,62.85835416676421
43,0.00045186850070711,62.86710584787234
44,0.0003515208144219,62.8741004841141
45,0.00027429897239533,62.8796900251036
46,0.00021469229226573,62.88415618005563
47,0.00016854392689437,62.88772435930581
48,0.00013270877955045,62.89057487097637
49,0.00010480013985254,62.89285190673742
50,0.00008300146410358,62.8946707486382
