cycle,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).M
0,0.0,2.0,0.0
1,6.941704854790541,2.8367506779132854,0.22060829430225026
2,18.040686141598382,7.637752749791561,0.8731550490887664
3,34.217890936136286,16.839068388134464,2.498485154686076
4,40.01679410254514,25.61409055255331,5.707680339149123
5,29.582087615688533,25.795844554709312,10.00487438986262
6,16.788243422500138,19.09721264163948,13.648147041785684
7,8.518019778104774,11.74266476962472,15.386177369615766
8,4.155603959402882,6.5000354521814305,15.241946476893276
9,2.011554502690333,3.394522116160458,13.891374924181815
10,0.9794401191351664,1.7194657195109,12.013040952450167
11,0.48241072384623956,0.8592904951034004,10.055530716119732
12,0.24077863659993648,0.4281646976820583,8.249879691674822
13,0.12178550576189075,0.21410393236446268,6.685903678522836
14,0.06238605242682579,0.10785521065561593,5.377930898026284
15,0.03234277071306006,0.05484927742091235,4.3060091553310444
16,0.0169581617013304,0.02818750019812603,3.437997405609144
17,0.00898785013906418,0.01464408252732861,2.7401407956847437
18,0.0048130044308163,0.00769122734220568,2.1815321424187006
19,0.0026031610154406,0.00408304064323711,1.7355895667160255
20,0.00142158944734391,0.00219035868392738,1.380187402503172
21,0.0007836385674967,0.00118703944275169,1.0972437497646919
22,0.00043593056835578,0.00064969050444122,0.8721388516382133
23,0.00024466888896944,0.00035901812981662,0.6931280731733902
24,0.00013851820030982,0.00020025255625256,0.5508137407389515
25,0.00007908861916272,0.00011271504248764,0.437694730841023
26,0.0000455320791512,0.00006400662578484,0.347793128534929
27,0.0000264264548215,0.00003666154176799,0.2763497344200202
28,0.00001545979587801,0.00002117622612837,0.21957810094428398
29,0.00000911467252649,0.0000123325542463,0.17446701489169927
30,0.00000541480887972,0.00000724008167142,0.13862246824320706
31,0.00000324089689882,0.0000042839411378,0.11014151993128792
32,0.00000195400356052,0.00000255435151129,0.08751176592862696
33,0.00000118659941359,0.00000153456770523,0.0695312985794092
34,0.0000007256789381,0.00000092873969266,0.05524502130624394
