cycle,first(COVID_Maths).D
0,0.0
1,0.13998175420542858
2,0.5270400104053006
3,1.3000850158382713
4,2.739542401429077
5,5.22168349910331
6,9.099482892904485
7,14.506396939799492
8,21.239437035585286
9,28.834658773616262
10,36.750551969242274
11,44.51751750178747
12,51.802132588621404
13,58.408084342815414
14,64.24874128779418
15,69.31409508395168
16,73.64211978982266
17,77.29728566985153
18,80.35579703915488
19,82.89613513840128
20,84.9934283488999
21,86.71642722711714
22,88.12617041611385
23,89.27569675885529
24,90.21036681689276
25,90.9685075845767
26,91.58219902576437
27,92.07809196785446
28,92.4781936860879
29,92.80058765595169
30,93.06007283715444
31,93.26871926486675
32,93.4363432648217
33,93.5709090381338
34,93.67886485267152
35,93.76542240216864
36,93.83478755186614
37,93.89034999833191
38,93.93483852875409
39,93.9704476901329
40,93.99894083916594
41,94.02173377464219
42,94.03996247117553
43,94.05453783940477
44,94.06618992976105
45,94.07550356736598
46,94.08294704580364
47,94.08889520832368
48,94.09364799773553
49,94.09744535285375
50,94.10047916273054
