cycle,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).M
0,0.0,2.0,0.0
1,6.659331496188213,2.080328708379216,0.1991567193692088
2,14.98714396188562,4.550886062104957,0.65239065929915
3,28.313200398655177,9.266227192215167,1.5858537688709244
4,41.659643497721355,15.612879530110455,3.3620493855439055
5,44.97746348891299,20.30919187322085,6.108921570117742
6,37.202268592150666,20.396912479331768,9.303227207843376
7,26.057941937276908,16.786794428585747,11.982174792326479
8,16.75890446255843,12.12225509935398,13.467630154101457
9,10.353424407159425,8.082155702088926,13.680167488084876
10,6.28358586372829,5.140905544178803,12.929903610226583
11,3.788931283210445,3.1839476903547324,11.619668381161274
12,2.28346550110095,1.9445107427682355,10.081472053992814
13,1.3799377061134128,1.1803955769943113,8.534685859424817
14,0.8377344450411571,0.7158031739674571,7.101597591347869
15,0.5114199567984457,0.43498296275343495,5.83736690082811
16,0.3141314500841515,0.26540302154126433,4.756480211661199
17,0.1941892870077705,0.1627802707503018,3.851402331492781
18,0.12082750076161025,0.10042760314260704,3.1042695958822377
19,0.07567244902834121,0.06234728937152344,2.4936427255948086
20,0.04770037144602714,0.03895547176468495,1.9981153623891936
21,0.03026107743224908,0.02449780817932531,1.5980528543781065
22,0.01931900691495273,0.01550544292063813,1.2762771283849448
23,0.01241018723306907,0.00987668952430354,1.018189621433204
24,0.00802082030816335,0.00633097734930251,0.8116168752308486
25,0.00521506507681773,0.00408337006077679,0.6465375823531063
26,0.00341079251357267,0.00264977750213814,0.5147761213667524
27,0.00224367845354119,0.00172980102304666,0.4097055054198058
28,0.00148433534129649,0.00113588060377501,0.32597922080853003
29,0.00098747749947381,0.00075019408336221,0.2592987734161471
30,0.00066054923787484,0.00049828158072354,0.20621723470510467
31,0.00044424891286581,0.00033280777217052,0.16397597618332135
32,0.00030036715234771,0.00022350543605997,0.13037054491068384
33,0.00020414856966812,0.00015091023372721,0.10364137749939029
34,0.00013946725246882,0.00010243457841837,0.08238527948772004
35,0.00009576249506438,0.00006989311397504,0.0654840372965131
36,0.00006608187489439,0.00004793425398179,0.05204703475880543
37,0.00004582477907046,0.00003304048208405,0.04136524081688342
38,0.00003193139754403,0.00002288767936635,0.03287438476141627
39,0.00002235652658792,0.00001593233215505,0.02612552744426038
40,0.00001572641773339,0.00001114416096717,0.02076156970871676
41,0.00001111387259201,0.00000783204212204,0.0164985168758786
42,0.00000789010903406,0.00000553009191907,0.01311054686226601
43,0.00000562671861454,0.00000392274723695,0.01041811635138496
44,0.00000403046666502,0.00000279525026893,0.00827849110686187
45,0.00000289972925371,0.00000200076463727,0.0065782090435714
46,0.00000209525190665,0.0000014384325898,0.00522708331219716
47,0.00000152043216716,0.00000103866431644,0.00415343184498055
48,0.00000110796439021,0.0000007532302425,0.00330028325733321
49,0.00000081075385811,0.00000054855783569,0.00262235974960727
50,0.00000059570849196,0.0000004011761879,0.00208367819503621
