cycle,first(COVID_Maths).D
0,0.0
1,0.12380007371575226
2,0.4360828971034779
3,1.041113623487304
4,2.1538990847866133
5,4.049171875349147
6,6.96113752872556
7,10.934965069694602
8,15.762209376638362
9,21.069811406661913
10,26.469092582141606
11,31.654293052309093
12,36.429739165581154
13,40.695659572110515
14,44.421485431828415
15,47.62086805704362
16,50.33268447990119
17,52.608011183363715
18,54.50178871492786
19,56.067821937963934
20,57.35602240507501
21,58.4110965631547
22,59.27212924460663
23,59.972694232895826
24,60.5412522232737
25,61.00168441950574
26,61.37386885000003
27,61.67424511790505
28,61.91633815837407
29,62.11122719642993
30,62.26795561121251
31,62.39388294710332
32,62.49498330155148
33,62.57609571555623
34,62.641132621415245
35,62.69325226933209
36,62.73500061873203
37,62.768427603447776
38,62.79518206041633
39,62.81658900609045
40,62.83371238405865
41,62.847405905638325
42,62.85835416676421
43,62.86710584787234
44,62.8741004841141
45,62.8796900251036
46,62.88415618005563
47,62.88772435930581
48,62.89057487097637
49,62.89285190673742
50,62.8946707486382
