cycle,first(COVID_Maths).D
0,0.0
1,0.1335090820044524
2,0.4906571642666327
3,1.1964964418977933
4,2.505284918571626
5,4.752677949014169
6,8.244141002476681
7,13.077812150286363
8,19.048514559288197
9,25.728650645766553
10,32.637835259195256
11,39.3719987979386
12,45.65281478132871
13,51.32258714046279
14,56.317113097077076
15,60.63585448611596
16,64.31715443846142
17,67.42013404487447
18,70.01249999732298
19,72.16286979813857
20,73.93629051595792
21,75.39189900617987
22,76.58195493999578
23,77.55171248326361
24,78.3397726204377
25,78.97868365521819
26,79.4956438735961
27,79.91321836378447
28,80.25002001794003
29,80.52132908068859
30,80.73964074856872
31,80.9151393869295
32,81.05610305128896
33,81.16924461580774
34,81.2599968769384
35,81.3327491409902
36,81.39104242390887
37,81.43772974558044
38,81.4751072472175
39,81.50502109286096
40,81.52895438762896
41,81.54809768300886
42,81.56340605413027
43,81.57564522694726
44,81.5854288005993
45,81.59324824517944
46,81.59949704986462
47,81.60449014288186
48,81.60847949549608
49,81.61166665023977
50,81.6142127728349
