cycle,first(COVID_Maths).D
0,0.0
1,0.12056373762292259
2,0.4178914752610524
3,0.9893193620171968
4,2.0367705776584244
5,3.814670451183498
6,6.533472200626602
7,10.220690737033754
8,14.666795257095984
9,19.516911112745703
10,24.41293365541361
11,29.081877075373786
12,33.35562089482296
13,37.15370186424876
14,40.45676002261128
15,43.28317229418302
16,45.67198841895648
17,47.67159778205273
18,49.332680292689986
19,50.70409872725656
20,51.83071585661702
21,52.752425367169884
22,53.5039187818454
23,54.11487553092495
24,54.61037597229181
25,55.01141253088335
26,55.335423755901864
27,55.59680825853207
28,55.80739595553159
29,55.976866754287634
30,56.113114449839244
31,56.22255796238068
32,56.31040432257805
33,56.38086880190673
34,56.43735780204993
35,56.4826198936393
36,56.5188699409113
37,56.54789069568789
38,56.57111566966834
39,56.589696542896554
40,56.60455786168251
41,56.61644133123274
42,56.62594161890123
43,56.63353525090625
44,56.63960390381933
45,56.64445315635056
46,56.6483275709435
47,56.65142281271817
48,56.653895380100124
49,56.655870412381745
50,56.65744795041709
